seller_id,n_reviews,mean_review_score,pct_negative,pct_neutral,pct_positive,sentiment_index
0570350b23eda5444f8d1d9544932058,7,5.0,0.0,0.0,100.0,100.0
05730013efda596306417c3b09302475,1,5.0,0.0,0.0,100.0,100.0
058cb5aeb36d7c0fcae20fc85d5e0a59,5,1.8,80.0,0.0,20.0,-60.0
058fd0aa2bfdb2274e05e1ae971dabb6,16,3.5,37.5,0.0,62.5,25.0
05a940b4ecae36cadfd8e93bd9c43257,5,3.4,40.0,0.0,60.0,20.0
05aebce0b5c8f0d41b29b686f2d05fd3,1,5.0,0.0,0.0,100.0,100.0
05d2173d43ea568aa0540eba70d2ca76,31,3.4516129032258065,32.25806451612903,3.225806451612903,64.51612903225806,32.25806451612903
05e107217c7266362fd44b75b2cd4cc4,1,5.0,0.0,0.0,100.0,100.0
05f51e13da97139648b8125c31e5f51b,27,3.5555555555555554,33.33333333333333,0.0,66.66666666666666,33.33333333333333
05feb94f19d094d4b0f9281f0b1d4c99,2,4.5,0.0,0.0,100.0,100.0
05ff92fedb5be47920fea08e501238b9,25,3.8,24.0,16.0,60.0,36.0
062ce95fa2ad4dfaedfc79260130565f,22,3.090909090909091,45.45454545454545,13.636363636363635,40.909090909090914,-4.54545454545454
06532f10282704ef4c69168b914b77be,4,3.75,25.0,0.0,75.0,50.0
06579cb253ecd5a3a12a9e6eb6bf8f47,28,3.0357142857142856,50.0,0.0,50.0,0.0
066a6914e1ebf3ea95a216c73a986b91,32,3.46875,46.875,6.25,46.875,0.0
0691148aee60ca47977c187804f935ae,22,3.272727272727273,45.45454545454545,4.545454545454546,50.0,4.545454545454547
06a2c3af7b3aee5d69171b0e14f0ee87,187,3.732620320855615,25.668449197860966,5.347593582887701,68.98395721925134,43.31550802139037
06bb3a2fe5e7b7a845b13e8fb91bd944,5,4.8,0.0,0.0,100.0,100.0
06df0c10d34e459d9672bc77388742eb,9,3.5555555555555554,44.44444444444444,0.0,55.55555555555556,11.111111111111114
06e5eefc71ec47ae763c5c6f8db7064f,34,3.2941176470588234,35.294117647058826,8.823529411764707,55.88235294117647,20.588235294117645
07017df32dc5f2f1d2801e579548d620,3,4.0,33.33333333333333,0.0,66.66666666666666,33.33333333333333
070d165398b553f3b4b851c216b8a358,23,3.217391304347826,43.47826086956522,4.3478260869565215,52.17391304347826,8.69565217391304
0725b8c0f3f906e58f70cbe76b7c748c,15,1.7333333333333334,80.0,13.333333333333334,6.666666666666667,-73.33333333333333
0747d5bb69f0586cc869d8af4c50f93e,3,2.3333333333333335,66.66666666666666,0.0,33.33333333333333,-33.33333333333333
0761743cbffb25d7148189e9f1a5f03a,6,4.166666666666667,0.0,0.0,100.0,100.0
077c5fae4bea9500e3737b16f71b9d3a,2,4.0,0.0,0.0,100.0,100.0
0791d9fc1e30678ecf03d3e55fa108d3,6,1.0,0.0,0.0,100.0,100.0
079d295dcbf06ee8bb1b65ba964eb2b6,1,4.0,0.0,0.0,100.0,100.0
07a9bc7f61396b658ddf3ac534efe44c,1,4.0,0.0,0.0,100.0,100.0
07bf9669d84d1f11be443a9dd938f698,13,2.076923076923077,61.53846153846154,0.0,38.46153846153847,-23.076923076923073
